Carat,Clarity,Color,Cut,Depth,Price,Table,x,y,z
0.7,I1,F,Fair,66.5,992,62,5.54,5.49,3.67
0.75,I1,F,Good,64,1013,59,5.78,5.62,3.66
0.7,I1,F,Good,63.9,1040,60,5.65,5.52,3.58
0.64,I1,F,Good,57.3,1140,64,5.75,5.69,3.28
0.84,I1,F,Good,60.8,1749,64,6.05,6.03,3.67
0.9,I1,F,Good,64.3,2143,58,6.09,6.05,3.9
1.5,I1,F,Good,63.7,3864,59,7.29,7.18,4.62
1.27,I1,F,Good,59.2,4324,64,7.06,6.99,4.16
0.4,I1,F,Good,63.3,491,60.4,4.64,4.68,2.95
0.41,I1,F,Good,63.8,503,57,4.69,4.72,3
1.5,I1,F,Good,60.6,5313,62,7.22,7.24,4.38
1.66,I1,F,Good,62.1,6025,57.7,7.56,7.6,4.71
2.01,I1,F,Good,64,6686,56,7.93,7.91,5.07
2,I1,F,Ideal,60.3,10494,56,8.16,8.27,4.94
0.7,I1,F,Ideal,62.1,1928,57,5.67,5.64,3.52
0.9,I1,F,Ideal,61.8,2634,57,6.2,6.13,3.81
0.97,I1,F,Ideal,60.7,2856,56,6.43,6.41,3.9
1.08,I1,F,Ideal,61.8,3168,56,6.64,6.62,4.1
1.01,I1,F,Ideal,62.2,3377,54,6.42,6.44,4
1.03,I1,F,Ideal,61.1,3444,55,6.51,6.54,3.99
1.03,I1,F,Ideal,61.1,3507,55,6.54,6.51,3.99
2.12,I1,F,Ideal,123.9,3544,110,13.09,13.15,8.129999999999999
1.13,I1,F,Ideal,62.2,3607,55,6.68,6.63,4.14
1.06,I1,F,Ideal,62.1,3609,55,6.57,6.54,4.07
1.1,I1,F,Ideal,61.3,3690,57,6.68,6.62,4.08
1.04,I1,F,Ideal,61.6,3718,57,6.51,6.46,4
1.14,I1,F,Ideal,61.7,3824,57,6.7,6.67,4.13
1.49,I1,F,Ideal,62.6,6175,54,7.31,7.28,4.57
0.4,I1,F,Ideal,63.3,630,60,4.68,4.64,2.95
0.73,I1,F,Premium,59.3,1207,61,5.88,5.75,3.46
0.87,I1,F,Premium,59.1,2170,58,6.25,6.21,3.68
1.01,I1,F,Premium,62.6,2257,57,6.42,6.3,3.99
0.9,I1,F,Premium,61.9,2316,59,6.18,6.16,3.82
0.93,I1,F,Premium,61.3,2396,59,6.27,6.22,3.83
1.02,I1,F,Premium,59.6,2452,59,6.51,6.45,3.87
0.92,I1,F,Premium,60.7,2607,58,6.29,6.26,3.81
1.01,I1,F,Premium,61.8,2781,60,6.39,6.36,3.94
1,I1,F,Premium,58.9,2841,60,6.6,6.55,3.87
1.06,I1,F,Premium,60.3,3158,58,6.59,6.56,3.96
1,I1,F,Premium,62.4,3405,59,6.38,6.34,3.97
1.03,I1,F,Premium,62.3,3444,59,6.42,6.46,4.01
1.13,I1,F,Premium,62.3,3607,56,6.69,6.61,4.14
1.72,I1,F,Premium,60.5,7089,59,7.8,7.71,4.69
2.17,I1,F,Premium,60.7,9078,59,8.43,8.35,5.09
0.56,I1,F,Premium,62.6,953,60,5.3,5.15,3.27
3.01,I1,F,Premium,62.2,9925,56,9.24,9.13,5.73
0.9,I1,F,Very Good,61.9,2199,59,6.16,6.18,3.82
1.1,I1,F,Very Good,59.8,3678,61,6.65,6.7,3.99
1.29,I1,F,Very Good,58.2,3774,61,7.11,7.15,4.15
1.7,I1,F,Very Good,63.1,5998,56,7.62,7.51,4.78
1.5,I1,F,Very Good,63.2,6028,57,7.29,7.24,4.59
1.4,I1,G,Fair,130,1069,114,11.24,10.850000000000001,7.1899999999999995
0.7,I1,G,Fair,65.3,1138,59,5.5,5.47,3.58
0.97,I1,G,Fair,57.2,1547,60,6.59,6.36,3.72
0.85,I1,G,Fair,62.7,1651,60,6.05,5.96,3.77
0.98,I1,G,Fair,68,1749,63,6.13,6.02,4.13
0.98,I1,G,Fair,67.3,1932,60,6.17,6.11,4.14
1,I1,G,Fair,67.3,1954,57,6.26,6.12,4.18
0.96,I1,G,Fair,64.5,2068,60,6.16,6.11,3.96
1.01,I1,G,Fair,64.5,2287,56,6.32,6.26,4.06
1,I1,G,Fair,61.7,2723,57,6.39,6.28,3.91
1.51,I1,G,Fair,65.6,4167,54,7.28,7.1,4.72
1.29,I1,G,Fair,66,4277,58,6.82,6.75,4.48
4.04,I1,G,Fair,133.6,6346,112,15.64,15.52,10.42
2.17,I1,G,Fair,55.6,6817,62,8.75,8.69,4.8
2.25,I1,G,Fair,64.9,7069,58,8.15,8.12,5.28
0.5,I1,G,Fair,64.9,727,57,5.01,4.97,3.24
2.5,I1,G,Fair,65.1,8711,59,8.55,8.39,5.53
0.59,I1,G,Fair,64.6,903,56,5.26,5.2,3.38
1.4,I1,G,Fair,131.6,956,119,11.120000000000001,10.870000000000001,7.25
0.7,I1,G,Fair,68.3,978,56,5.52,5.4,3.73
1.14,I1,G,Good,63.7,2327,56,6.63,6.55,4.2
1.92,I1,G,Good,121,2344,120,12.71,12.629999999999999,7.65
1.13,I1,G,Good,63.4,3127,58,6.58,6.61,4.18
0.41,I1,G,Good,63.8,467,56,4.7,4.74,3.01
2,I1,G,Good,63.9,6854,58,7.99,7.91,5.08
2.05,I1,G,Good,56.9,7026,58,8.46,8.3,4.77
0.87,I1,G,Ideal,61.5,1827,57,6.09,6.04,3.73
1.02,I1,G,Ideal,61.5,3382,56,6.49,6.46,3.98
1.02,I1,G,Ideal,61.2,3459,56,6.47,6.5,3.97
1.09,I1,G,Ideal,61,3614,56,6.66,6.62,4.05
1.28,I1,G,Ideal,61.6,4509,57,6.96,6.93,4.28
1.35,I1,G,Ideal,62.5,4643,57,7.04,7.01,4.39
1.44,I1,G,Ideal,63.2,6096,55,7.21,7.18,4.54
0.5,I1,G,Premium,62.2,1020,59,5.07,5.03,3.14
0.7,I1,G,Premium,59.7,1138,59,5.76,5.57,3.39
3,I1,G,Premium,59.7,13203,60,9.42,9.26,5.58
0.73,I1,G,Premium,62.5,1395,58,5.82,5.74,3.61
0.76,I1,G,Premium,63,1629,55,5.83,5.74,3.65
0.9,I1,G,Premium,61.3,1777,59,6.2,6.15,3.78
0.9,I1,G,Premium,62.3,1939,53,6.16,6.12,3.82
1,I1,G,Premium,59,2264,60,6.49,6.43,3.82
1.12,I1,G,Premium,60.4,2383,59,6.71,6.67,0
1.04,I1,G,Premium,62.2,2801,58,6.46,6.41,4
1.02,I1,G,Premium,60.3,2815,58,6.55,6.5,3.94
1.01,I1,G,Premium,61.1,3014,61,6.49,6.35,3.92
1.12,I1,G,Premium,60.3,3017,60,6.75,6.69,4.05
1.01,I1,G,Premium,59.4,3348,61,6.51,6.45,3.85
1.07,I1,G,Premium,62.3,3547,60,6.55,6.51,4.07
1.5,I1,G,Premium,60.4,4140,55,7.4,7.32,4.45
1.36,I1,G,Premium,62.1,4509,57,7.11,7.06,4.4
2.03,I1,G,Premium,61.1,6377,58,8.11,8.06,4.94
0.62,I1,G,Premium,58.9,933,60,5.65,5.54,3.29
2.04,I1,G,Premium,62.4,9727,58,8.08,8.17,5.07
0.7,I1,G,Very Good,61.5,1047,63,5.73,5.65,3.5
0.73,I1,G,Very Good,62.5,1298,58,5.74,5.82,3.61
1.06,I1,G,Very Good,60.7,2080,63,6.59,6.56,3.99
1.03,I1,G,Very Good,63.2,2988,58,6.44,6.34,4.04
1.12,I1,G,Very Good,61.2,3017,63,6.68,6.59,4.05
1.03,I1,G,Very Good,60.8,3018,57,6.51,6.55,3.97
1.5,I1,G,Very Good,60.3,5808,61,7.34,7.39,4.44
2.23,I1,G,Very Good,63.5,7006,57,8.24,8.2,5.22
0.73,I1,H,Fair,66.2,1104,56,5.62,5.46,3.69
0.7,I1,H,Fair,62.1,1138,66,5.56,5.52,3.44
0.76,I1,H,Fair,64.5,1140,57,5.79,5.76,3.73
0.96,I1,H,Fair,61.5,1637,63,6.22,6.06,3.78
0.96,I1,H,Fair,69.2,1739,56,5.97,5.83,4.08
0.96,I1,H,Fair,68.9,1773,59,6.09,5.96,4.15
1.3,I1,H,Fair,64.4,2512,57,6.93,6.86,4.44
1.13,I1,H,Fair,64.8,2968,59,6.52,6.42,4.19
1.02,I1,H,Fair,61.5,2999,60,6.4,6.34,3.92
1.5,I1,H,Fair,69.3,3175,61,6.99,6.81,4.78
1.52,I1,H,Fair,64.9,3504,58,7.18,7.13,4.65
1.51,I1,H,Fair,65.6,3765,61,7.16,7,4.66
3.04,I1,H,Fair,135.10000000000002,4648,117,14.02,13.91,9.43
1.5,I1,H,Fair,65.7,4939,58,7.07,7.02,4.63
1.5,I1,H,Fair,65.5,5645,58,7.02,6.96,4.58
2,I1,H,Fair,69.8,5914,54,7.6,7.56,5.29
1.82,I1,H,Fair,67.3,5993,58,7.5,7.47,5.04
2.03,I1,H,Fair,64.4,6002,59,7.91,7.85,5.07
2.14,I1,H,Fair,66.4,6328,56,8,7.92,5.29
1.49,I1,H,Fair,66.9,6425,61,6.93,6.89,4.62
2.32,I1,H,Fair,70.5,6860,55,7.93,7.9,5.58
0.9,I1,H,Good,57.4,1939,63,6.38,6.33,3.65
1.04,I1,H,Good,63.9,3261,58,6.42,6.35,4.08
1.5,I1,H,Good,64,4022,56,7.18,7.05,4.56
2.06,I1,H,Good,64.3,6091,58,8.03,7.99,5.15
2.01,I1,H,Good,61.7,7959,63,7.91,7.94,4.89
2.34,I1,H,Ideal,62.4,11221,55,8.51,8.44,5.29
3.5,I1,H,Ideal,62.8,12587,57,9.65,9.59,6.03
1.23,I1,H,Ideal,61.6,3168,55,6.92,6.87,4.25
1.07,I1,H,Ideal,62.1,3412,55,6.55,6.59,4.08
1.13,I1,H,Ideal,61.1,3603,56,6.71,6.77,4.12
1.15,I1,H,Ideal,62,3606,55,6.76,6.69,4.17
1.19,I1,H,Ideal,61.5,3665,57,6.79,6.83,4.19
1.13,I1,H,Ideal,61.1,3669,56,6.77,6.71,4.12
1.13,I1,H,Ideal,62.2,3678,55,6.65,6.69,4.15
1.2,I1,H,Ideal,58.6,3763,57,7.01,6.96,4.09
1.19,I1,H,Ideal,60.3,3794,57,6.83,6.93,4.15
1.19,I1,H,Ideal,60.3,3864,57,6.93,6.83,4.15
1.23,I1,H,Ideal,61.9,3905,61,6.85,6.79,4.22
1.02,I1,H,Ideal,62.1,3987,56,6.45,6.4,3.99
1.23,I1,H,Ideal,61.8,4098,56,6.91,6.85,4.25
1.69,I1,H,Ideal,62,6757,56,7.66,7.61,4.73
1.7,I1,H,Ideal,62.6,7068,54.1,7.58,7.63,4.77
1.7,I1,H,Ideal,62.6,7197,54,7.63,7.58,4.77
1.75,I1,H,Ideal,61.5,7409,55,7.78,7.75,4.78
1.75,I1,H,Ideal,61.6,7680,56,7.73,7.75,4.77
2.16,I1,H,Ideal,62.2,8709,56,8.31,8.26,5.15
2.77,I1,H,Premium,62.6,10424,62,8.93,8.83,5.56
3.24,I1,H,Premium,62.1,12300,58,9.44,9.4,5.85
0.9,I1,H,Premium,58.8,1599,62,6.32,6.26,3.7
0.98,I1,H,Premium,59.6,2046,60,6.61,6.48,3.89
1,I1,H,Premium,62.7,2058,59,6.39,6.33,3.98
1.16,I1,H,Premium,61.7,2368,62,6.68,6.64,4.11
1.01,I1,H,Premium,60.1,2520,58,6.49,6.44,3.89
1.05,I1,H,Premium,62,2881,59,6.5,6.47,4.02
1.08,I1,H,Premium,61.7,3118,59,6.54,6.59,4.05
1.02,I1,H,Premium,62.5,3141,60,6.39,6.41,4
1.01,I1,H,Premium,58.1,3167,59,6.66,6.6,0
1.5,I1,H,Premium,60.1,3457,57,7.4,7.28,4.42
1.5,I1,H,Premium,61.1,3599,59,7.37,7.26,4.47
1.17,I1,H,Premium,62.8,3669,58,6.71,6.69,4.21
1.51,I1,H,Premium,60.9,4404,56,7.38,7.26,4.46
0.43,I1,H,Premium,62,452,59,4.78,4.83,2.98
1.95,I1,H,Premium,60.3,5045,59,8.1,8.05,4.87
1.54,I1,H,Premium,62,5071,60,7.4,7.32,4.56
0.43,I1,H,Premium,62,581,59,4.83,4.78,2.98
1.51,I1,H,Premium,61.9,6038,58,7.39,7.34,4.56
2.08,I1,H,Premium,61.7,6150,57,8.23,8.18,5.06
2,I1,H,Premium,59.7,6344,62,8.19,8.02,4.85
2.21,I1,H,Premium,62.2,6535,58,8.31,8.27,5.16
2.03,I1,H,Premium,59.4,7421,59,8.31,8.22,4.91
0.6,I1,H,Premium,60.1,806,60,5.51,5.44,3.29
2.33,I1,H,Premium,60.7,8220,58,8.64,8.56,5.22
2.34,I1,H,Very Good,62.4,11119,55.4,8.44,8.51,5.29
1.2,I1,H,Very Good,63.1,2850,60,6.75,6.67,4.23
1.22,I1,H,Very Good,61.6,3663,56,6.8,6.87,4.21
1.23,I1,H,Very Good,61.9,3835,60.6,6.79,6.85,4.22
1.74,I1,H,Very Good,63.2,4677,55,7.62,7.59,4.8
1.85,I1,H,Very Good,63.3,5688,56,7.8,7.75,4.92
0.73,I1,I,Fair,70.8,1049,55,5.51,5.34,3.84
0.73,I1,I,Fair,66.1,1175,58,5.63,5.5,3.68
0.9,I1,I,Fair,67.2,1786,60,5.96,5.88,3.98
1,I1,I,Fair,68.6,1805,56,6.2,6.08,4.22
1,I1,I,Fair,66.9,1997,57,6.15,6.03,4.09
1,I1,I,Fair,64.5,2035,58,6.33,6.1,4.01
1.2,I1,I,Fair,65.1,2376,55,6.65,6.59,4.31
2.26,I1,I,Fair,126.8,2396,124,13.13,12.96,8.27
1.17,I1,I,Fair,65.4,2935,62,6.68,6.57,4.33
1.5,I1,I,Fair,71.3,4368,58,6.85,6.81,4.87
1.96,I1,I,Fair,66.8,6147,55,7.62,7.6,5.08
3,I1,I,Good,57,10863,64,9.38,9.31,5.33
0.7,I1,I,Good,63.9,1111,62,5.62,5.57,3.58
1.29,I1,I,Good,64.2,3098,54,6.93,6.83,4.42
1.5,I1,I,Good,63.7,3696,61,7.22,7.1,4.57
1.5,I1,I,Good,62.6,4620,63,7.19,7.25,4.52
1.7,I1,I,Good,63.6,6474,58,7.52,7.48,4.77
0.97,I1,I,Ideal,61.6,2239,53,6.4,6.43,3.95
0.96,I1,I,Ideal,62,2363,56,6.3,6.34,3.92
1.01,I1,I,Ideal,61.6,2416,56,6.45,6.43,3.97
1.02,I1,I,Ideal,61.7,2925,56,6.49,6.44,3.99
1.27,I1,I,Ideal,62.3,3328,56,6.91,6.86,4.29
1.2,I1,I,Ideal,61.9,3505,56,6.82,6.85,4.23
1.2,I1,I,Ideal,61.9,3570,56,6.85,6.82,4.23
1.5,I1,I,Ideal,61.8,5510,57,7.39,7.31,4.54
0.7,I1,I,Premium,62.3,1107,58,5.69,5.55,3.51
4.01,I1,I,Premium,61,15223,61,10.14,10.1,6.17
0.86,I1,I,Premium,62.6,1828,56,6.11,6.03,3.8
1.01,I1,I,Premium,59.2,2017,57,6.58,6.44,3.85
1.07,I1,I,Premium,59.8,2260,59,6.68,6.62,3.98
1.04,I1,I,Premium,61.6,2870,61,6.47,6.45,3.98
1.11,I1,I,Premium,61.8,3183,59,6.65,6.58,4.09
1.52,I1,I,Premium,61.2,3541,58,7.43,7.35,4.52
1.27,I1,I,Premium,60.2,3732,62,7.05,7,4.23
1.39,I1,I,Premium,62.6,3985,57,7.15,7.1,4.46
1.44,I1,I,Premium,62.7,4387,55,7.21,7.18,4.51
1.69,I1,I,Premium,62.4,6320,60,7.56,7.59,4.73
1.69,I1,I,Premium,62.4,6436,60,7.59,7.56,4.73
3.01,I1,I,Premium,62.7,8040,58,9.1,8.97,5.67
2.04,I1,I,Premium,59.3,8408,61,8.3,8.25,4.91
2.34,I1,I,Premium,61.5,8491,60,8.47,8.43,5.2
4,I1,I,Very Good,63.3,15984,58,10.01,9.94,6.31
1.04,I1,I,Very Good,61.6,2745,61,6.45,6.47,3.98
1.01,I1,I,Very Good,63.1,2896,57,6.39,6.35,4.02
1.27,I1,I,Very Good,60.2,3665,62,7,7.05,4.23
1.39,I1,I,Very Good,62.6,3914,57,7.1,7.15,4.46
0.7,I1,J,Fair,64.7,1066,59,5.59,5.5,3.59
0.85,I1,J,Fair,65.5,1334,59,5.95,5.82,3.86
0.99,I1,J,Fair,73.6,1789,60,6.01,5.8,4.35
4.5,I1,J,Fair,65.8,18531,58,10.23,10.16,6.72
0.95,I1,J,Fair,64.9,2322,56,6.17,6.12,3.99
1.83,I1,J,Fair,70,5083,58,7.34,7.28,5.12
2.15,I1,J,Fair,65.5,5430,57,8.01,7.95,5.23
2.49,I1,J,Fair,66.3,6289,58,8.26,8.18,5.45
2,I1,J,Fair,66.5,6796,56,7.93,7.8,5.23
2.74,I1,J,Fair,64.9,8807,61,8.76,8.66,5.65
2,I1,J,Good,63.6,6521,62,7.97,7.8,5.02
0.97,I1,J,Ideal,61.6,2370,54,6.34,6.28,3.89
2.63,I1,J,Premium,62.3,10628,61,8.81,8.76,5.47
4.01,I1,J,Premium,62.5,15223,62,10.02,9.94,6.24
1.03,I1,J,Premium,62.8,2392,55,6.43,6.41,4.03
1.01,I1,J,Premium,60.7,2488,59,6.39,6.42,3.89
2,I1,J,Premium,61.5,5051,59,8.11,8.06,4.97
0.72,I1,J,Premium,62.9,945,59,5.8,5.63,3.58
0.91,I1,J,Very Good,63.1,2048,57,6.12,6.06,3.84
1.24,I1,J,Very Good,61.9,2940,55,6.85,6.92,4.26
1.69,I1,J,Very Good,60.2,5182,61,7.7,7.79,4.66
0.37,IF,D,Fair,61.2,1440,57,4.68,4.73,2.88
0.47,IF,D,Fair,60.6,2211,60,5.09,4.98,3.05
0.32,IF,D,Good,57.8,1252,56,4.55,4.65,2.66
1.01,IF,D,Good,63.2,15081,59,6.34,6.38,4.02
1.09,IF,D,Good,58.7,16406,61,6.75,6.85,3.99
0.46,IF,D,Good,58.6,2139,59,5.06,5.11,2.98
0.31,IF,D,Ideal,61.1,1251,56,4.39,4.42,2.69
0.31,IF,D,Ideal,61.1,1310,56,4.42,4.39,2.69
1.04,IF,D,Ideal,61.8,14494,57,6.49,6.52,4.02
1.02,IF,D,Ideal,63,15575,57,6.39,6.35,4.01
1,IF,D,Ideal,60.7,16469,57,6.44,6.48,3.92
0.31,IF,D,Ideal,60.5,1917,57,4.39,4.41,2.66
0.68,IF,D,Ideal,121.9,2287,114,9.030000000000001,9.11,5.53
0.68,IF,D,Ideal,121.9,2346,114,9.11,9.030000000000001,5.53
0.51,IF,D,Ideal,62,3446,56,5.14,5.18,3.2
0.53,IF,D,Ideal,61.5,3517,54,5.27,5.21,3.22
0.63,IF,D,Ideal,61.2,3832,53,5.55,5.6,3.41
0.56,IF,D,Ideal,61.9,4293,57,5.28,5.31,3.28
0.63,IF,D,Ideal,62.5,6549,55,5.47,5.5,3.43
0.27,IF,D,Ideal,62.4,893,56,4.15,4.12,2.58
0.3,IF,D,Premium,62.1,1130,59,4.27,4.29,2.66
0.31,IF,D,Premium,60.2,1167,59,4.39,4.42,2.65
0.31,IF,D,Premium,60.2,1248,59,4.42,4.39,2.65
1.01,IF,D,Premium,61.6,16234,56,6.46,6.43,3.97
0.7,IF,D,Premium,60,5027,59,5.75,5.81,3.47
0.32,IF,D,Very Good,62,1171,56,4.39,4.43,2.73
1.01,IF,D,Very Good,63.3,12581,55,6.36,6.28,4
0.31,IF,D,Very Good,62,1331,56,4.33,4.35,2.69
1.01,IF,D,Very Good,63.4,15219,59,6.39,6.26,4.01
1.02,IF,D,Very Good,62.7,15306,57,6.36,6.46,4.02
1.01,IF,D,Very Good,61.6,16087,56,6.43,6.46,3.97
1.07,IF,D,Very Good,59,17909,59,6.63,6.72,3.94
1.07,IF,D,Very Good,60.9,18114,58,6.57,6.67,4.03
0.48,IF,D,Very Good,60.6,2677,55,5.08,5.12,3.09
0.63,IF,D,Very Good,59.6,4800,59,5.55,5.59,3.32
0.83,IF,D,Very Good,59.7,7889,53,6.14,6.23,3.69
0.31,IF,E,Good,64.2,1052,60,4.28,4.22,2.73
0.36,IF,E,Good,57.7,1053,54,4.74,4.79,2.75
0.38,IF,E,Good,59.1,1318,58,4.74,4.77,2.81
0.26,IF,E,Good,59.6,597,61,4.13,4.16,2.47
0.28,IF,E,Good,64.6,612,58,4.09,4.12,2.65
0.9,IF,E,Good,63.6,6804,56,6.11,6.02,3.86
0.31,IF,E,Good,57.7,912,55,4.51,4.6,2.63
0.31,IF,E,Ideal,61.3,1002,58,4.37,4.4,2.69
0.32,IF,E,Ideal,60.6,1004,60,4.43,4.45,2.69
0.96,IF,E,Ideal,185.3,1018,167,13.18,13.27,8.17
0.31,IF,E,Ideal,61.9,1046,55,4.38,4.41,2.72
0.31,IF,E,Ideal,61.9,1060,56,4.35,4.37,2.7
0.64,IF,E,Ideal,124.5,1095,111,8.780000000000001,8.83,5.48
0.33,IF,E,Ideal,61.9,1129,57,4.41,4.45,2.74
0.31,IF,E,Ideal,61.9,1133,56,4.37,4.35,2.7
1.02,IF,E,Ideal,62.6,11500,57,6.41,6.47,4.03
1.02,IF,E,Ideal,62.6,11605,57,6.47,6.41,4.03
0.34,IF,E,Ideal,61.7,1163,56,4.46,4.48,2.76
0.32,IF,E,Ideal,61.9,1170,56,4.42,4.4,2.73
0.62,IF,E,Ideal,125.5,1214,111,8.68,8.74,5.45
0.34,IF,E,Ideal,62,1243,56,4.5,4.47,2.78
0.35,IF,E,Ideal,62.2,1254,56,4.52,4.51,2.81
0.33,IF,E,Ideal,62.1,1289,55,4.43,4.46,2.76
0.7,IF,E,Ideal,122.6,1300,112,9.08,9.129999999999999,5.58
0.78,IF,E,Ideal,122.4,1333,113,9.440000000000001,9.51,5.8
0.76,IF,E,Ideal,123.80000000000001,1433,111,9.280000000000001,9.39,5.78
1.09,IF,E,Ideal,60.1,15193,58,6.68,6.72,4.03
1.11,IF,E,Ideal,61.8,15464,55,6.65,6.69,4.12
1.3,IF,E,Ideal,62.3,15874,54,6.97,7.03,4.36
